Centri Commerciali, Supermercati e Grandi Magazzini;Zuiki c/o Tiare Shopping;Localita Maranuz X,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0432-461XX;45.8XXX 13.43XXX;info@federweb.com;
Ristoranti;Alle Viole;Via Gorizia XX,;34072;GRADISCA D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-933XX;45.89XXX 13.50XXX;info@federweb.com;
Ristoranti;Farroni;Piazza Vittorio Emanuele XX,;33038;SAN DANIELE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;329-85553XX;46.16XXX 13.0XXX;info@federweb.com;
Locali e Ritrovi - Birrerie e Pubs        Ristoranti;Wiener Haus;Piazza Cesare Battisti X,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-5386XX;45.94XXX 13.61XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Al Porto Industriale;Via Giovanni e Sebastiano Caboto XX,;34147;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-8230XX;45.61XXX 13.8XXX;info@federweb.com;
Ristoranti;Albergo Ristorante Alla Stazione;Trieste XX Via delle Sette Fontane,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-3307XX;45.60XXX 13.77XXX;info@federweb.com;
Ristoranti;Al Nuovo Baffone;Via Adriatica,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5609XX;46.03XXX 13.21XXX;info@federweb.com;
Ristoranti;Ristorante Pizzeria ai Rivoli;Via Rivoli XX,;33010;OSOPPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9861XX;46.22XXX 13.06XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria Rosa;Via Rosa XX,;33078;SAN VITO AL TAGLIAMENTO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-827XX;45.92XXX 12.8XXX;info@federweb.com;
Ristoranti;Semplicemente Caffè... Fuori Men;Via Giovanni Marinelli XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-17912XX;46.06XXX 13.23XXX;info@federweb.com;
Ristoranti;Alla Sorgente;Via della Sorgente X,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;347-93965XX;45.64XXX 13.77XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria Istriana;Via Lignano XX,;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9055XX;45.94XXX 12.97XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria Cevraia;Via San Marco XX, Castions;33080;ZOPPOLA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-970XX;45.96XXX 12.79XXX;info@federweb.com;
Ristoranti;Stanlio e Ollio;Viale xx Settembre XX,;34126;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-5777XX;45.65XXX 13.78XXX;info@federweb.com;
Ristoranti;Ristorante Dal Santo;Via Suor Serafina Gregoris XX,;33080;FIUME VENETO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9592XX;45.93XXX 12.72XXX;info@federweb.com;
Ristoranti;Adoro Cafe;Piazza del Duomo XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;342-94504XX;46.06XXX 13.23XXX;info@federweb.com;
Ristoranti;Locanda Casaversa 1834;Via Gorizia XX, Versa;34076;ROMANS D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0385-6561XX;45.90XXX 13.42XXX;info@federweb.com;
Ristoranti;Red Race;Via Valdirivo XX,;34132;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;380-26234XX;45.65XXX 13.7XXX;info@federweb.com;
Ristoranti;Al Vecjo Traghèt;Via Tagliamento,;33030;RAGOGNA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9577XX;46.17XXX 12.96XXX;info@federweb.com;
Ristoranti;La Botte Piccola;Via Maggiore XX,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;345-79111XX;45.96XXX 12.63XXX;info@federweb.com;
Ristoranti;Agriturismo la Natura;Via Grado,;33052;CERVIGNANO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;320-30234XX;45.80XXX 13.35XXX;info@federweb.com;
Ristoranti;Wiener Haus;Via Antonio Bardelli,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5446XX;46.08XXX 13.17XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Ristorante la Cucina di Gemma;Viale Venezia,;33080;PORCIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-3626XX;45.96XXX 12.62XXX;info@federweb.com;
Ristoranti;Toasteria di Napoli;Piazza del Ponterosso X,;34121;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-34900XX;45.65XXX 13.77XXX;info@federweb.com;
Ristoranti;Cantina Produttori Cormo ns;Via Vino della Pace XX,;34071;CORMONS ;(GO) ;    FRIULI VENEZIA GIULIA;0481-624XX;45.94XXX 13.46XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Alla Casetta;Via San Marco XX,;34144;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;348-53182XX;45.64XXX 13.77XXX;info@federweb.com;
Ristoranti;Al Ristoro Uaw Uaw;Strada per Lazzaretto XX,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2723XX;45.59XXX 13.72XXX;info@federweb.com;
Ristoranti;Taglialegne Orietta;Viale Aprilia Marittima XX,;33053;LATISANA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-533XX;45.69XXX 13.07XXX;info@federweb.com;
Ristoranti;Osteria Belvedere;Via Vivoda X,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-3308XX;45.59XXX 13.75XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Buffet al Spaceto di Varini Gianni;Via Belpoggio X/a,;34123;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;338-33944XX;45.64XXX 13.75XXX;info@federweb.com;
Ristoranti;Antichi Sapori Sas di Capano Mario e c.;Via Nazionale XX,;33038;SAN DANIELE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9562XX;46.13XXX 12.97XXX;info@federweb.com;
Ristoranti;Ferfila Riccardo;Localita' Sistiana XX/A,;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-29072XX;45.77XXX 13.62XXX;info@federweb.com;
Ristoranti;Montgomery;Via Locatelli Giulio, X,;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;347-02658XX;45.96XXX 12.97XXX;info@federweb.com;
Ristoranti;Arricriati Rosticceria Siciliana;Via Molinari X,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;392-12961XX;45.96XXX 12.66XXX;info@federweb.com;
Ristoranti;Sushi Queen;Via Milano XX,;34132;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-26065XX;45.6XXX 13.77XXX;info@federweb.com;
Ristoranti;Trattoria Panionoteca da Glenn;Via Rita Rosani XX,;34147;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;389-04798XX;45.6XXX 13.82XXX;info@federweb.com;
Ristoranti;Buonissimo Kebab &Amp; Fast Food;Viale Giuseppe Mazzini XX,;33081;AVIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-17734XX;46.07XXX 12.58XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Al Guanaco;Via Ugo Foscolo XX,;34131;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;327-91500XX;45.64XXX 13.78XXX;info@federweb.com;
Ristoranti;Teppan;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5445XX;46.08XXX 13.17XXX;info@federweb.com;
Ristoranti;Nautec;Via Consiglio d Europa XX,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;328-25454XX;45.79XXX 13.56XXX;info@federweb.com;
Ristoranti;Corno d'Africa;Via Enrico Fruch X,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-2862XX;46.07XXX 13.25XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Venerio;Via Savorgnana XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;348-76163XX;46.06XXX 13.23XXX;info@federweb.com;
Ristoranti;Co.b.s. s.a.s. di Scandiffio Alex e c.;Via Colombo Cristoforo XX,;33080;PORCIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5930XX;45.94XXX 12.60XXX;info@federweb.com;
Ristoranti;Sushiko;Via Antonio Bardelli X,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-16981XX;46.08XXX 13.17XXX;info@federweb.com;
Ristoranti;Funky go;Via Michele Gortani XX,;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9041XX;45.9XXX 12.97XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Ferluga;Via della Bellavista XX,;34151;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;347-13961XX;45.66XXX 13.79XXX;info@federweb.com;
Ristoranti;Rosticceria Spiedo d' Oro;Raggio DI Mezzodì, Lignano Pineta;33054;LIGNANO SABBIADORO ;(UD) ;    FRIULI VENEZIA GIULIA;328-09809XX;45.67XXX 13.11XXX;info@federweb.com;
Bar e Caffe'        Ristoranti;Leon d'Oro;Via dei Rizzani X,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5087XX;46.06XXX 13.23XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria da Ognibene;Via Beltramini X,;33040;POVOLETTO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6796XX;46.11XXX 13.30XXX;info@federweb.com;
Pizzerie        Ristoranti;Ai Pestons Mulino di Baseglia;Via Ostolidi XX, Baseglia;33097;SPILIMBERGO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-6309XX;46.12XXX 12.90XXX;info@federweb.com;
Ristoranti;Ristorante Gardenia;Campo Porta Nuova X,;34073;GRADO ;(GO) ;    FRIULI VENEZIA GIULIA;347-21095XX;45.67XXX 13.38XXX;info@federweb.com;
Ristoranti;Aroma Kitchen;Via Giuseppe Garibaldi XX,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-0821XX;45.95XXX 12.5XXX;info@federweb.com;
Ristoranti;Caffè Letterario Pordenone;Piazza della Motta X,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;339-44263XX;45.95XXX 12.66XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Monte Jof;Strada Esterna Corso X, Cima Corso;33021;AMPEZZO ;(UD) ;    FRIULI VENEZIA GIULIA;366-44127XX;46.39XXX 12.75XXX;info@federweb.com;
Ristoranti;Motodrome;Via Monzambone XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;333-78897XX;46.06XXX 13.25XXX;info@federweb.com;
Ristoranti;Ristorantino da Issa;Piazza V. Emanuele II,;33092;CAVASSO NUOVO ;(PN) ;    FRIULI VENEZIA GIULIA;339-14497XX;46.19XXX 12.77XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Salvagente;Via dei Burlo X,;34123;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-26066XX;45.64XXX 13.76XXX;info@federweb.com;
Ristoranti;Piussi Vittorino;Via Roma,;33010;CHIUSAFORTE ;(UD) ;    FRIULI VENEZIA GIULIA;0433-520XX;46.40XXX 13.30XXX;info@federweb.com;
Ristoranti;Pellegrino Ingrid;Via Marittima XX,;33058;SAN GIORGIO DI NOGARO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-6215XX;45.82XXX 13.2XXX;info@federweb.com;
Ristoranti;Che Ghiotto il Panzerotto;Via Grazzano XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;380-89246XX;46.05XXX 13.23XXX;info@federweb.com;
Ristoranti;Bris - Portopiccolo;Strada Costiera,;34151;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-99777XX;45.72XXX 13.68XXX;info@federweb.com;
Ristoranti;Maxi's Ristorante;Via Sistiana,;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-99777XX;45.75XXX 13.66XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Piccolo Bar Stella S.r.l.s.;Via xi Febbraio XXX,;33030;CAMPOFORMIDO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6621XX;46.0XXX 13.15XXX;info@federweb.com;
Ristoranti;C.g.g. Group Srl Semplificata;Via Manin Daniele XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-2958XX;46.06XXX 13.23XXX;info@federweb.com;
Ristoranti;Dusci;Via Paolo Sarpi XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-17932XX;46.XXX 13.23XXX;info@federweb.com;
Ristoranti;Bar Trattoria Alla Trota;Via Armando Diaz,;33010;TRASAGHIS ;(UD) ;    FRIULI VENEZIA GIULIA;393-07797XX;46.28XXX 13.06XXX;info@federweb.com;
Ristoranti;Mr. Crowley;Via Paduina X,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-24519XX;45.65XXX 13.78XXX;info@federweb.com;
Ristoranti;La Toretta;Via IX Giugno,;33040;CAMPOLONGO TAPOGLIANO ;(UD) ;    FRIULI VENEZIA GIULIA;347-78446XX;45.87XXX 13.41XXX;info@federweb.com;
Ristoranti;Strumbo Vincenzo;Via Xxiv Maggio X,;34076;MEDEA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-674XX;45.91XXX 13.42XXX;info@federweb.com;
Ristoranti;Hostaria Belvedere di Polese g.;Via Alma Vivoda X,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2718XX;45.59XXX 13.75XXX;info@federweb.com;
Ristoranti;Carmagnola Restaurant;Via Planis XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5128XX;46.0XXX 13.24XXX;info@federweb.com;
Ristoranti;Santa Lucia di Lucrezio Giovanna;Via Beato Angelico XX,;34073;GRADO ;(GO) ;    FRIULI VENEZIA GIULIA;0431-843XX;45.67XXX 13.3XXX;info@federweb.com;
Ristoranti;Grbec Emilia;Via Foschiatti Gabriele X,;34129;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-7720XX;45.64XXX 13.77XXX;info@federweb.com;
Ristoranti;Hanami Sushi;Viale Duodo XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-17128XX;46.05XXX 13.22XXX;info@federweb.com;
Ristoranti;Ex Provinciali;Via della Prefettura X,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5120XX;46.06XXX 13.2XXX;info@federweb.com;
Ristoranti;Macaia;Via Latisana XX,;33050;CASTIONS DI STRADA ;(UD) ;    FRIULI VENEZIA GIULIA;345-26136XX;45.90XXX 13.18XXX;info@federweb.com;
Ristoranti;Il Caffe' Dei Libri;Via Poscolle XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-14822XX;46.06XXX 13.23XXX;info@federweb.com;
Ristoranti;Tre S.n.c. di Perosa Christian & Fortuna Laura;Via Gradenigo XX,;34073;GRADO ;(GO) ;    FRIULI VENEZIA GIULIA;0431-826XX;45.67XXX 13.38XXX;info@federweb.com;
Ristoranti;Champagneria;Via Luigi Cadorna XX,;34124;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-24562XX;45.64XXX 13.7XXX;info@federweb.com;
Ristoranti;Mimi e Cocotte;Via Luigi Cadorna XX,;34123;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;348-83690XX;45.64XXX 13.76XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;La Pironada;Via dei Carmelitani XX,;34136;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-06434XX;45.67XXX 13.76XXX;info@federweb.com;
Ristoranti;Bobe's The Getaway;Via Pordenone XX,;33081;AVIANO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6780XX;46.05XXX 12.59XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Urban Farmhouse;Via Brusafiera XX,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;329-13171XX;45.95XXX 12.65XXX;info@federweb.com;
Ristoranti;Pub l'Arrogante;Via Flavia di Stramare XXX,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;324-08967XX;45.59XXX 13.80XXX;info@federweb.com;
Ristoranti;Osmiza Coslovich Elda;Via Commerciale XXX,;34134;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-4143XX;45.67XXX 13.78XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;La Torre - Ristorantepizzagourmet;Frazione Villanova X,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5718XX;45.93XXX 12.67XXX;info@federweb.com;
Ristoranti;Osmiza Suber Marco;Via di Monrupino XX, Villa Opicina;34151;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;349-71587XX;45.69XXX 13.79XXX;info@federweb.com;
Ristoranti;Osmiza Merlak Denis;Via San Sabba X,;34148;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;329-80065XX;45.61XXX 13.78XXX;info@federweb.com;
Ristoranti;Osmiza Stubelj Ivana;SpX,;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2011XX;45.7XXX 13.68XXX;info@federweb.com;
Ristoranti;Osmiza Tercon;SpX,;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2994XX;45.78XXX 13.66XXX;info@federweb.com;
Ristoranti;Osmiza Pertot Gabriel;Frazione Aurisina XX, Aurisina;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2009XX;45.75XXX 13.67XXX;info@federweb.com;
Ristoranti;Mal Del Lupo;Piazza Venezia X,;34123;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-06422XX;45.64XXX 13.76XXX;info@federweb.com;
Ristoranti;Taverna Del Ghetto;Via del Ponte X,;34121;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-24192XX;45.64XXX 13.77XXX;info@federweb.com;
Ristoranti;Glen S.r.l.;Via Torino XX,;34123;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-26014XX;45.64XXX 13.76XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria da Paola;Via Monte Sabotino XX,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-207XX;45.92XXX 13.60XXX;info@federweb.com;
Ortofrutticoltura        Ristoranti;Skerk;Frazione Prepotto XX,;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2001XX;45.76XXX 13.69XXX;info@federweb.com;
Ristoranti;Ai Tre Amici;Via Guglielmo Oberdan XX,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;340-63239XX;45.94XXX 13.62XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Ristorante Albergo Bar Corona 2.0;Via Gio Maria Fabricio,;33090;CLAUZETTO ;(PN) ;    FRIULI VENEZIA GIULIA;327-90865XX;46.22XXX 12.91XXX;info@federweb.com;
Ristoranti;Azienda Agricola Drej e;Via i Maggio XX, Iamiano;34070;DOBERDÒ DEL LAGO ;(GO) ;    FRIULI VENEZIA GIULIA;348-88765XX;45.82XXX 13.57XXX;info@federweb.com;
Ristoranti;Marina House;Via Giorgio Scerbanenco XX,;33054;LIGNANO SABBIADORO ;(UD) ;    FRIULI VENEZIA GIULIA;344-21085XX;45.65XXX 13.06XXX;info@federweb.com;
Alberghi        Ristoranti;Hotel Ristorante il Novecento;Via Gino Menotti XX,;33072;CASARSA DELLA DELIZIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-8699XX;45.95XXX 12.83XXX;info@federweb.com;
Ristoranti;Ai Dragossi;Via Conti di Grado XX,;34073;GRADO ;(GO) ;    FRIULI VENEZIA GIULIA;0431-810XX;45.67XXX 13.38XXX;info@federweb.com;
Ristoranti;Al Pignau;SpXXX,;33020;SUTRIO ;(UD) ;    FRIULI VENEZIA GIULIA;333-2480XX;46.51XXX 12.97XXX;info@federweb.com;
Ristoranti;Radetic;Frazione Medeazza XX,;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2089XX;45.79XXX 13.6XXX;info@federweb.com;
Ristoranti;Osteria 51;Via della Madonnetta XX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;345-87220XX;46.04XXX 13.24XXX;info@federweb.com;
Ristoranti;Roadhouse Villesse;Via Cividale,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-913XX;45.87XXX 13.44XXX;info@federweb.com;
Ristoranti;Roadhouse Restaurant;Via Nazionale,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-422XX;46.11XXX 13.2XXX;info@federweb.com;
Ristoranti;Ristorantino Terramare;Via Odorico X,;33090;SEQUALS ;(PN) ;    FRIULI VENEZIA GIULIA;338-84315XX;46.15XXX 12.82XXX;info@federweb.com;
Ristoranti;Kuore S.p.a.;Via Nazionale XX,;33010;TAVAGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0523-6138XX;46.10XXX 13.22XXX;info@federweb.com;
Ristoranti;Il Conte Tacchia S.n.c.;Via Veneto XXX/X,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5264XX;46.0XXX 13.25XXX;info@federweb.com;
Ristoranti;Videma S.r.l.;Via Roma XX,;34070;VILLESSE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-9183XX;45.85XXX 13.43XXX;info@federweb.com;
Ristoranti;Decanter;Viale Veneto XX,;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9014XX;45.96XXX 12.96XXX;info@federweb.com;
Ristoranti;Fatto in Casa;Via di Roiano X,;34135;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-26083XX;45.66XXX 13.77XXX;info@federweb.com;
Ristoranti;El Goli Azad;Via Valdirivo XX,;34132;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-76057XX;45.65XXX 13.77XXX;info@federweb.com;
Ristoranti;Chen Wenjin;Via Garibaldi Giuseppe XX,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7347XX;45.95XXX 12.5XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Tirel Bruno & c. s.a.s.;Via Romana XX,;34075;SAN CANZIAN D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7080XX;45.79XXX 13.46XXX;info@federweb.com;
Ristoranti;Trattoria da Min;Via Volontari Liberta' X,;33010;OSOPPO ;(UD) ;    FRIULI VENEZIA GIULIA;327-06510XX;46.27XXX 13.0XXX;info@federweb.com;
Ristoranti;Star Srls;Via Luigi Cadorna XX,;33018;TARVISIO ;(UD) ;    FRIULI VENEZIA GIULIA;0428-21XX;46.49XXX 13.64XXX;info@federweb.com;
Ortofrutticoltura        Ristoranti;Zidarich;Frazione Prepotto XX,;34011;DUINO;AURISINA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2012XX;45.76XXX 13.69XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Il Quadrifoglio;Via Gorizia X,;33050;BAGNARIA ARSA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9285XX;45.88XXX 13.32XXX;info@federweb.com;
Ristoranti;Antica Trattoria Dominissini;Piazza San Francesco,;33043;CIVIDALE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7320XX;46.09XXX 13.42XXX;info@federweb.com;
Ristoranti;La Veranda;Via Circonvallazione Ovest XX,;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9070XX;45.95XXX 12.97XXX;info@federweb.com;
Ristoranti;Al Corridoio;Via Dante Alighieri XX,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-24521XX;45.60XXX 13.XXX;info@federweb.com;
Ristoranti;Da Cippi;Borgo Valdestali XX, Valdestali;33080;FRISANCO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-780XX;46.20XXX 12.75XXX;info@federweb.com;
Ristoranti;Bris;Strada Costiera XXX,;34151;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-99744XX;45.72XXX 13.69XXX;info@federweb.com;
Pizzerie        Ristoranti;Peperino;Corso Italia XXX,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-5324XX;45.94XXX 13.61XXX;info@federweb.com;
Ristoranti;Divino S.n.c. di Verzola Gabriele e c.;Piazzale Taliano Linteris X,;33078;SAN VITO AL TAGLIAMENTO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-801XX;45.91XXX 12.85XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;L'Osteria Del Vento;Riva Tommaso Gulli X,;34123;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-24657XX;45.64XXX 13.7XXX;info@federweb.com;
Ristoranti;Schillaci Francesca;Via Alfieri Vittorio XX/B,;34129;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6333XX;45.64XXX 13.78XXX;info@federweb.com;
Ristoranti;Il Melograno;Contrada Villachiara XX,;33057;PALMANOVA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9202XX;45.90XXX 13.31XXX;info@federweb.com;
Ristoranti;Osteria la Vite Selvatica;Via Xxiv Maggio XX,;34076;MEDEA ;(GO) ;    FRIULI VENEZIA GIULIA;338-85202XX;45.91XXX 13.42XXX;info@federweb.com;
Ristoranti;Weare S.r.l.;Piazzale Venti Settembre X/D,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-2474XX;45.95XXX 12.65XXX;info@federweb.com;
Ristoranti;Bar ai Longobardi di Bressan Pierluigi;Via Atleti Azzurri d'Italia X,;34076;ROMANS D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-9096XX;45.89XXX 13.43XXX;info@federweb.com;
Ristoranti;I-Sushi;Via Trieste XXX,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5021XX;46.06XXX 13.24XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Tassan-Zanin Giovanni & c. s.a.s.;Via Tricesimo X,;33017;TARCENTO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7856XX;46.19XXX 13.22XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Ristorante Alla Tavernetta;Via Marconi X,;33047;REMANZACCO ;(UD) ;    FRIULI VENEZIA GIULIA;340-22752XX;46.08XXX 13.32XXX;info@federweb.com;
Alberghi        Ristoranti - Trattorie ed Osterie;Albergo Trattoria da si-si;Via Piovega XX,;33013;GEMONA DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8910XX;46.27XXX 13.13XXX;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria al Buco di di Nuzzo Fabio;Via Pascoli Giovanni XX,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-5023XX;45.93XXX 13.61XXX;info@federweb.com;
