Ristoranti;Nuova Atlantide S.r.l. Unipersonale;Via Dante Alighieri , Passons;33037;PASIAN DI PRATO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5411;46.07 13.19;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria al Cavaliere Perso;Via della Motta ,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-280;45.95 12.66;info@federweb.com;
Ristoranti;La Lasagnetta di Guida Giovanna;Via Caravaggio ,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-19000;45.96 12.;info@federweb.com;
Alberghi        Ristoranti;Aplis;Localita Applis ,;33025;OVARO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-6190;46.49 12.86;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria Cevraia;Via s. Marco , Cevraia;33080;ZOPPOLA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-970;45.96 12.79;info@federweb.com;
Alberghi        Ristoranti;Magesta Spa Unipersonale;Riva Massimiliano e Carlotta , Grignano;34151;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-2241;45.70 13.71;info@federweb.com;
Ristoranti;Volpe e Bortot S.r.l.;Via Chiavornicco ,;33084;CORDENONS ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5383;45.96 12.70;info@federweb.com;
Ristoranti;Osteria di Nonta;Via San Maurizio ,;33020;SOCCHIEVE ;(UD) ;    FRIULI VENEZIA GIULIA;0433-805;46.39 12.8;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria Clai;Via del Ghirlandaio ,;34138;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-9410;45.64 13.78;info@federweb.com;
Ristoranti;Nerone di Buonocore Rossella e c. Snc;Arco del Grecale ,;33054;LIGNANO SABBIADORO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-4274;45.66 13.10;info@federweb.com;
Ristoranti;Trattoria Bar ai Cacciatori;Via Armando Diaz ,;33092;CAVASSO NUOVO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-7778;46.20 12.77;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria Alla Pineta;Strada s. Anna , Spessa;33043;CIVIDALE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7160;46.04 13.46;info@federweb.com;
Ristoranti;Al Gnotul;Via Roma ,;33030;RIVE D'ARCANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8094;46.12 13.03;info@federweb.com;
Pensioni        Ristoranti;Lena;Via Madonna della Salute , Vico;33024;FORNI DI SOPRA ;(UD) ;    FRIULI VENEZIA GIULIA;0433-880;46.4 12.58;info@federweb.com;
Ristoranti;Da Piero;Localita Pontile Belvedere ,;34073;GRADO ;(GO) ;    FRIULI VENEZIA GIULIA;0431-820;45.6 13.38;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Terra & Vini S.r.l.;Via xiv Maggio ,;34071;CORMONS ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7540;45.97 13.45;info@federweb.com;
Alberghi        Ristoranti;Gortani;Via Umberto I ,;33022;ARTA TERME ;(UD) ;    FRIULI VENEZIA GIULIA;0433-9296;46.47 13.02;info@federweb.com;
Ristoranti;Divino;Via Giovanni Delfino ,;33078;SAN VITO AL TAGLIAMENTO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-819;45.9 12.85;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Massil di Massimo di Prisco & c. s.a.s.;Via Gemona /A,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-2040;46.06 13.23;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Tre Emme Sas di Fornasaro Michela;Via Roma ,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-441;45.8 13.52;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Due Piu'  S.r.l.;Via del Pozzo ,;33030;COSEANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8621;46.10 12.9;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria la de Mame di Zampieri Luca;Via Taboga ,;33013;GEMONA DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-19769;46.2 13.10;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria da Gianni;Via Carlo de Morelli ,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-5345;45.9 13.62;info@federweb.com;
Ristoranti;Maran Igor & c. s.a.s.;Viale Martiri della Liberta' ,;34073;GRADO ;(GO) ;    FRIULI VENEZIA GIULIA;0431-813;45.68 13.40;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Il Favri;Via Borgo Meduna ,;33095;SAN GIORGIO DELLA RICHINVELDA ;(PN) ;    FRIULI VENEZIA GIULIA;0427-9498;46.03 12.81;info@federweb.com;
Ristoranti;Cavour;Via Camillo Benso di Cavour ,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-700;45.95 12.5;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Alla Trota;Via Pieve ,;33074;FONTANAFREDDA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9205;45.96 12.;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Gianni;Via di Giarizzole ,;34147;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-8123;45.61 13.79;info@federweb.com;
Ristoranti;La Taverna;Via Cesare Battisti , Stevenà;33070;CANEVA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7991;45.96 12.43;info@federweb.com;
Ristoranti;Ristorante Caffe' Stella;Via ix Ottobre  , Erto;33080;ERTO E CASSO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-8790;46.27 12.37;info@federweb.com;
Ristoranti;Ristorante-Pizzeria Bartolo;Via Udine ,;33054;LIGNANO SABBIADORO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-717;45.69 13.14;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Al Commercio;Largo Garibaldi , Pieris;34075;SAN CANZIAN D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-760;45.80 13.44;info@federweb.com;
Bar e Caffe'        Ristoranti - Trattorie ed Osterie;Taurian;Via Murlis , Ovoledo;33080;ZOPPOLA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-971;45.97 12.78;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Da Vanda;Via Erminia , San Martino;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9000;45.9 12.99;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Al Caminetto;Via Montello , Barbeano;33097;SPILIMBERGO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-29;46.08 12.87;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria da Omero;Via San Mauro ,;33050;RONCHIS ;(UD) ;    FRIULI VENEZIA GIULIA;0431-560;45.80 12.99;info@federweb.com;
Alberghi        Ristoranti;Miramare;Viale Miramare /,;34136;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-22470;45.69 13.73;info@federweb.com;
Ristoranti;Vuoto a Rendere Sas di Dias Costa Norma Sueli e c;Piazza della Liberta' ,;34132;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-46124;45.65 13.77;info@federweb.com;
Ristoranti;Ai Granatieri di Buonocore Nicola e Clara & c. Sas;Case Sparse Sant'Andrat /Snc,;33030;TALMASSONS ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7664;45.89 13.15;info@federweb.com;
Pensioni        Ristoranti;Pian Dei Tass;Via Pentina ,;33080;BARCIS ;(PN) ;    FRIULI VENEZIA GIULIA;0427-7644;46.18 12.52;info@federweb.com;
Ristoranti;Ai Cuei di Baret;Via dei Valentinis ,;33019;TRICESIMO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8545;46.16 13.2;info@federweb.com;
Ristoranti;Bar Duca di de Lorenzo Ivan Antonio Iii;Piazzale Duca d'Aosta ,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-273;45.96 12.66;info@federweb.com;
Agriturismo        Ristoranti;Il Salice Ridente;Via Santa Maria ,;33087;PASIANO DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6042;45.82 12.65;info@federweb.com;
Ristoranti;Trattoria la Cantina;Via Foschiatti Gabriele ,;34129;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-7720;45.64 13.77;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Al Giardinetto;Via Aquileia ,;34076;ROMANS D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-900;45.88 13.44;info@federweb.com;
Ristoranti;Ristorante al Ponte S.n.c.;Viale Trieste ,;34072;GRADISCA D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-992;45.88 13.48;info@federweb.com;
Alberghi        Ristoranti;Albergo Bellavista di p.g.de Infanti & c. s.a.s.;Via Roma ,;33020;RAVASCLETTO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-660;46.52 12.92;info@federweb.com;
Ristoranti;Le Dune;Via Dante ,;34070;MARIANO DEL FRIULI ;(GO) ;    FRIULI VENEZIA GIULIA;0481-690;45.9 13.45;info@federweb.com;
Ristoranti;Ristorante Conte di Carmagnola;Via del Sale ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5128;46.06 13.23;info@federweb.com;
Ristoranti;La Stella;Via Principale ,;33092;MEDUNO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-861;46.21 12.78;info@federweb.com;
Ristoranti;Spaghetti House;Via Gradenigo ,;34073;GRADO ;(GO) ;    FRIULI VENEZIA GIULIA;0431-826;45.67 13.38;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria al Marescial;Via Villa ,;33090;TRAVESIO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-900;46.19 12.86;info@federweb.com;
Ristoranti;Savial;Campo San Niceta ,;34073;GRADO ;(GO) ;    FRIULI VENEZIA GIULIA;0431-851;45.67 13.;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Marcandella;Piazza Fontana , Coltura;33070;POLCENIGO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-740;46.03 12.48;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Da Balan;Via Ippolito Nievo ,;33058;SAN GIORGIO DI NOGARO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-6200;45.83 13.2;info@federweb.com;
Locali e Ritrovi - Birrerie e Pubs        Ristoranti;Pilutti's Pub;Via Stiria , Cussignacco;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5229;46.03 13.24;info@federweb.com;
Ristoranti;La Bussola 2012 di Prato Sabina;Via Manzoni ,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-92772;45.60 13.76;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria la Taverna;Via Sant' Antonio ,;33040;FAEDIS ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7287;46.17 13.38;info@federweb.com;
Ristoranti;Grani di Pepe;Via Camillo Benso Conte di Cavour ,;33030;FLAIBANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8693;46.05 12.98;info@federweb.com;
Alberghi        Ristoranti;Roma;Borgo Cividale ,;33057;PALMANOVA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-17993;45.90 13.3;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Gustin;Localita Sgonico ,;34010;SGONICO ;(TS) ;    FRIULI VENEZIA GIULIA;040-2291;45.73 13.74;info@federweb.com;
Ristoranti;Chimera di Bacco;Via del Pane ,;34121;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3640;45.6 13.76;info@federweb.com;
Ristoranti;Locanda Aquileia;Via Aquileia ,;33052;CERVIGNANO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0431-345;45.82 13.33;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Al Nuovo Antico Pavone;Riva Grumula ,;34123;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-3038;45.64 13.7;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Alla Speranza di Montagnese Massimo;Via Frangipane ,;33017;TARCENTO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7852;46.21 13.22;info@federweb.com;
Ristoranti;Ristorante Pizzeria Allo Zoncolan;Piazza Pantò DI Liariis, Liariis;33025;OVARO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-671;46.49 12.87;info@federweb.com;
Ristoranti;Menarosti;Via del Toro ,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-6610;45.65 13.77;info@federweb.com;
Bar e Caffe'        Ristoranti;Mystic Bar;Viale Tricesimo ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4810;46.08 13.23;info@federweb.com;
Ristoranti - Trattorie ed Osterie;3 g - Tregi Srl;Via Armando Diaz /,;34070;SAN PIER D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7084;45.84 13.44;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Al Bristol di Cragnaz Fernando;Via Divisione Julia ,;33040;FAEDIS ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7285;46.15 13.34;info@federweb.com;
Ristoranti;Belvedere;;;;0435-4699;46.57 12.72;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria al Pontil de Tripoli Zorzini Michela;Rv. Giuseppe Garibaldi ,;34073;GRADO ;(GO) ;    FRIULI VENEZIA GIULIA;0431-802;45.68 13.39;info@federweb.com;
Ristoranti - Trattorie ed Osterie;La Brava;Via Madonna di Strada , Medeuzza;33048;SAN GIOVANNI AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7560;45.94 13.39;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Alla Tavella;Via Tavella ,;33080;FIUME VENETO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9592;45.92 12.71;info@federweb.com;
Ristoranti;Ristorante Cial de Brent S.r.l.;Via Pordenone ,;33070;POLCENIGO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7487;46.02 12.5;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria Bar Centrale;Piazza Angelo Noacco ,;33010;CASSACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8804;46.17 13.18;info@federweb.com;
Bar e Caffe'        Ristoranti - Trattorie ed Osterie;Da Paussa;Via Orzano , Selvis;33047;REMANZACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6670;46.07 13.31;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria da Tony;Localita Belpoggio ,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2310;45.58 13.80;info@federweb.com;
Ristoranti;Sun Sushi;Via Maestri del Lavoro ,;33080;FIUME VENETO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9541;45.94 12.72;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Al Contadino;Via Pozzuolo ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-2374;46.04 13.22;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria al Friuli di Commessatti Quinto e c. Snc;Piazza Colonnello Armando Cimolino ,;33030;DIGNANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9511;46.08 12.93;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Turri;Piazza Sant Andrea ,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-218;45.92 13.60;info@federweb.com;
Ristoranti;G.m. S.n.c. di Piva Nicola & c.;Via xiv Maggio ,;33072;CASARSA DELLA DELIZIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-8710;45.95 12.84;info@federweb.com;
Pizzerie        Ristoranti;Gambero Rosso;Via Colugna ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-4770;46.07 13.2;info@federweb.com;
Ristoranti;Casa Dipinta;Via Piave ,;33097;SPILIMBERGO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-416;46.1 12.9;info@federweb.com;
Ristoranti;Gptsm-68 S.r.l.;Piazza Matteotti Giacomo ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5083;46.0 13.23;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria Savorgnan di Pinzin Mariangela;Via s. Vidotto ,;33030;CAMINO AL TAGLIAMENTO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9190;45.92 12.94;info@federweb.com;
Ristoranti;Ristorante da Gigi;Via Casabianca ,;33054;LIGNANO SABBIADORO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-4283;45.66 13.08;info@federweb.com;
Ristoranti;Il Cecchini;Via Sant Antonio , Cecchini;33087;PASIANO DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-9669;45.87 12.61;info@federweb.com;
Ristoranti - Trattorie ed Osterie;La Campagnola;Via Nazionale ,;33048;SAN GIOVANNI AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7565;45.96 13.4;info@federweb.com;
Ristoranti;Al Puntic;Via Molevana ,;33090;TRAVESIO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-9082;46.18 12.88;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Al Colombo;Via Roma ,;33078;SAN VITO AL TAGLIAMENTO ;(PN) ;    FRIULI VENEZIA GIULIA;0434-801;45.91 12.85;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Ai Sbilfs;Via Spilimbergo ,;33035;MARTIGNACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6370;46.09 13.13;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Borgo Peressine;Via Borgata Peressine ,;33080;PRATA DI PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-6200;45.88 12.59;info@federweb.com;
Alberghi        Ristoranti;Olivo;Via Zorutti ,;33020;CAVAZZO CARNICO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-934;46.36 13.03;info@federweb.com;
Ristoranti;Ristorante Pizzeria Margherita;Via Maria Antonini , Carpeneto;33050;POZZUOLO DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-6650;45.99 13.18;info@federweb.com;
Ristoranti;Caproni & Mauri S.r.l.;Contovello ,;34151;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-2131;45.64 13.78;info@federweb.com;
Ristoranti;De Mosis;Via Piave ,;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9135;45.96 12.97;info@federweb.com;
Camere Ammobiliate e Locande        Ristoranti;Locanda al Lago;Via Redona ,;33090;TRAMONTI DI SOPRA ;(PN) ;    FRIULI VENEZIA GIULIA;0427-861;46.24 12.74;info@federweb.com;
Ristoranti;Pizzeria da Pasquale;Piazza u. Martina , Tauriano;33097;SPILIMBERGO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-29;46.10 12.86;info@federweb.com;
Alberghi        Ristoranti;Michelini;Viale Barbacane ,;33097;SPILIMBERGO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-504;46.11 12.89;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Tomini Marco;Via Provinciale ,;33039;SEDEGLIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9180;46.03 12.93;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Hostaria Alla Tavernetta;Via Artico di Prampero ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5010;46.06 13.23;info@federweb.com;
Bar e Caffe'        Ristoranti - Trattorie ed Osterie;Da Quinto;Via Julia Augusta ,;33010;MAGNANO IN RIVIERA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7931;46.21 13.17;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria Bar le Querce;Via del Klancig ,;33049;SAN PIETRO AL NATISONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7276;46.12 13.48;info@federweb.com;
Alberghi        Ristoranti;Villa Cigolotti;Via San Marco , Basaldella;33099;VIVARO ;(PN) ;    FRIULI VENEZIA GIULIA;0427-9760;46.08 12.78;info@federweb.com;
Ristoranti;Mascolo Raffaele & c. s.a.s.;Via Nazionale ,;33019;TRICESIMO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8528;46.16 13.21;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Osteria da Maria di Fachin Ines;Localita' Casolare Caprizi , Caprizi;33020;SOCCHIEVE ;(UD) ;    FRIULI VENEZIA GIULIA;0433-800;46.37 12.78;info@federweb.com;
Ristoranti;Ristorante Bar pr? Della Scala;Via Cansiglio ,;33070;CANEVA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7786;46.00 12.43;info@federweb.com;
Ristoranti;'Locanda Campi di Marcello' di Bregant Anna&c.-S.n.c. Ristorante Albergo;Via Napoli ,;34074;MONFALCONE ;(GO) ;    FRIULI VENEZIA GIULIA;0481-7201;45.79 13.53;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Ostarie Nojar;Via Annia ,;33058;SAN GIORGIO DI NOGARO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-6203;45.81 13.21;info@federweb.com;
Pizzerie        Ristoranti;La Perla Jonica;Viale Firenze ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-2325;46.05 13.22;info@federweb.com;
Ristoranti;Shi's;Viale del Ledra ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5319;46.06 13.22;info@federweb.com;
Ristoranti;Osteria la Campana;Via Roma ,;33036;MERETO DI TOMBA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-8653;46.05 13.04;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria al Leon d'Oro di Paolo Cimbaro e Patrizia Russian Snc;Via Latina ,;34076;ROMANS D'ISONZO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-906;45.89 13.44;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Vecia Gorizia;Via San Giovanni ,;34170;GORIZIA ;(GO) ;    FRIULI VENEZIA GIULIA;0481-324;45.94 13.62;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Al Merendero;Piazza Dante Alighieri ,;33033;CODROIPO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9063;45.96 12.97;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Flor Srl Unipersonale;Via Gemona ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5039;46.06 13.23;info@federweb.com;
Ristoranti;Le Contrade S.r.l.;Via Puiatti a. ,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-7345;45.95 12.50;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Prosit S.n.c. di Zucchet Claudio & c.;Via Meduna ,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-5247;45.95 12.67;info@federweb.com;
Ristoranti;Bordin Giuliana;Viale Venezia ,;33054;LIGNANO SABBIADORO ;(UD) ;    FRIULI VENEZIA GIULIA;0431-7215;45.68 13.13;info@federweb.com;
Alberghi        Ristoranti;Albergo Ristorante Edelhof;Via Armando Diaz ,;33018;TARVISIO ;(UD) ;    FRIULI VENEZIA GIULIA;0428-6440;46.50 13.57;info@federweb.com;
Ristoranti;Laite;;;;0435-4690;46.56 12.69;info@federweb.com;
Ristoranti;La Stella Alpina di Simone Zibra e Cristina Salice Sas;Via Centrale ,;33080;ANDREIS ;(PN) ;    FRIULI VENEZIA GIULIA;0427-7644;46.20 12.61;info@federweb.com;
Ristoranti;Mini Puglia;Corso Lino Zanussi ,;33080;PORCIA ;(PN) ;    FRIULI VENEZIA GIULIA;0434-3615;45.96 12.61;info@federweb.com;
Alberghi        Ristoranti;Vecchia Osteria Cimenti;Via Cesare Battisti ,;33029;VILLA SANTINA ;(UD) ;    FRIULI VENEZIA GIULIA;0433-7480;46.41 12.92;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Allo Splendor;Via Dante Alighieri ,;34015;MUGGIA ;(TS) ;    FRIULI VENEZIA GIULIA;040-2752;45.60 13.76;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Bar Osteria al Tabacchino;Via Notaio Sartori , Dierico;33027;PAULARO ;(UD) ;    FRIULI VENEZIA GIULIA;0433-700;46.51 13.12;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Da Gisa;Via Roma ,;33048;CHIOPRIS;VISCONE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9910;45.92 13.40;info@federweb.com;
Ristoranti - Trattorie ed Osterie;San Michele;Via Antonio Peruch ,;33077;SACILE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-723;45.95 12.48;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Da Pippo;Via Armando Diaz ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-259;46.06 13.24;info@federweb.com;
Ristoranti;La Colombara;Via s. Zilli ,;33051;AQUILEIA ;(UD) ;    FRIULI VENEZIA GIULIA;0431-9195;45.77 13.37;info@federweb.com;
Residences ed Appartamenti Ammobiliati        Ristoranti;Italia;Via Roma ,;33018;TARVISIO ;(UD) ;    FRIULI VENEZIA GIULIA;0428-405;46.50 13.57;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Trattoria al Ponte;Via Ponte Romano ,;33040;PREMARIACCO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7291;46.05 13.39;info@federweb.com;
Ristoranti - Trattorie ed Osterie;La Subida S.n.c. di Sirk a. & c.;Via Subida ,;34071;CORMONS ;(GO) ;    FRIULI VENEZIA GIULIA;0481-623;45.9 13.49;info@federweb.com;
Ristoranti;Giani Andrea;Via Brusafiera ,;33170;PORDENONE ;(PN) ;    FRIULI VENEZIA GIULIA;0434-2413;45.95 12.65;info@federweb.com;
Ristoranti;Cina Cina;Via Guido Brunner ,;34125;TRIESTE ;(TS) ;    FRIULI VENEZIA GIULIA;040-20394;45.6 13.78;info@federweb.com;
Bar e Caffe'        Ristoranti;Bar da Artico;Via Poscolle ,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5079;46.0 13.2;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Antica Trattoria Ferreghini;Localita Mernico , Mernico;34070;DOLEGNA DEL COLLIO ;(GO) ;    FRIULI VENEZIA GIULIA;0481-6393;46.04 13.49;info@federweb.com;
Aziende Agricole        Ristoranti;Tavernetta al Castello;Via Spessa ,;34070;CAPRIVA DEL FRIULI ;(GO) ;    FRIULI VENEZIA GIULIA;0481-8082;45.94 13.50;info@federweb.com;
Locali e Ritrovi - Birrerie e Pubs        Ristoranti;Bire;Piazzale Osoppo,;33100;UDINE ;(UD) ;    FRIULI VENEZIA GIULIA;0432-5120;46.07 13.23;info@federweb.com;
Bar e Caffe'        Ristoranti - Trattorie ed Osterie;Al Campanile;Via Giovanni Battista Candotti ,;33043;CIVIDALE DEL FRIULI ;(UD) ;    FRIULI VENEZIA GIULIA;0432-7324;46.09 13.43;info@federweb.com;
Ristoranti - Trattorie ed Osterie;Alla Vecchia Pesa;Piazza Tre Novembre , Orgnano;33031;BASILIANO ;(UD) ;    FRIULI VENEZIA GIULIA;0432-844;46.00 13.14;info@federweb.com;
Ristoranti - Trattorie ed Osterie;La Corte;Via della Villa ,;33050;BAGNARIA ARSA ;(UD) ;    FRIULI VENEZIA GIULIA;0432-9960;45.83 13.30;info@federweb.com;
